#Gender,Age,Heightin,Weightlbs,WritingPreference
M,41,71,180,R
M,35,68,160,L
M,42,68,205,L
M,31,66,175,R
M,21,77,213,R
M,39,69,175,R
M,32,72,250,R
M,23,74,211,R
M,36,70,220,R
M,23,72,160,L
M,32,70,195,R
M,28,69,155,N
M,36,72,230,R
M,26,75,250,R
M,22,68,200,R
M,38,69,196,R
M,26,67,170,R
M,34,70,215,R
M,31,70,167,R
M,32,70,202,R
M,28,71,165,R
M,24,66,163,R
M,23,66,175,R
M,26,79,215,R
M,33,70,212,R
M,32,64,135,R
M,30,73,230,L
M,36,71,176,R
M,25,69,178,R
M,33,73,200,R
M,21,75,168,R
M,47,71,205,L
M,37,65,150,R
M,27,74,198,R
M,20,71,151,R
M,30,71,194,R
M,20,68,150,L
M,30,74,275,R
M,30,68,170,R
M,26,69,193,R
M,25,70,135,R
M,44,67,188,R
M,19,73,175,R
M,24,68,190,R
M,33,70,215,R
M,21,66,145,R
M,29,69,155,R
M,31,69,185,R
M,39,75,222,R
M,40,66,190,R
M,39,71,240,R
M,35,73,185,R
M,35,65,161,R
M,24,70,215,R
M,31,67,173,R
M,33,72,310,R
M,26,71,147,R
M,28,70,190,L
M,40,68,220,R
M,35,75,215,R
M,26,64,126,R
M,33,69,160,R
M,27,73,160,L
M,43,68,174,R
M,28,69,220,R
M,32,67,146,R
M,28,66,180,R
M,26,74,235,R
M,27,70,150,R
M,39,64,158,R
M,26,69,165,R
M,28,68,140,R
M,39,64,164,R
M,22,69,165,L
M,26,73,227,R
M,45,69,205,R
M,39,66,205,R
M,40,69,214,R
M,23,73,195,R
M,19,72,216,R
M,21,71,190,R
M,27,70,163,R
M,41,72,200,R
M,33,71,170,R
M,35,68,175,L
M,21,62,138,R
M,24,68,169,R
M,34,72,195,R
M,19,70,143,R
M,24,67,160,L
M,29,68,190,R
M,24,68,190,R
M,23,72,166,R
M,19,73,150,R
M,21,75,165,R
M,21,72,170,R
M,22,66,158,R
M,26,67,174,R
M,20,74,165,R
M,27,71,215,R
M,44,72,190,R
M,19,69,160,L
M,29,71,210,R
M,22,72,180,R
M,28,73,144,R
M,31,75,215,R
M,28,69,190,R
M,31,69,197,L
M,34,73,183,R
M,30,67,185,R
M,31,73,215,R
M,42,72,180,R
M,40,67,187,R
M,28,73,250,R
M,48,71,219,L
M,29,73,225,R
M,32,67,174,R
M,30,70,190,R
M,28,74,315,R
M,21,66,170,R
M,20,65,148,R
M,29,69,170,R
M,34,68,155,R
M,46,75,250,R
M,38,75,200,R
M,39,70,160,R
M,26,71,183,L
M,24,73,222,R
M,41,72,173,R
M,38,69,218,R
M,24,66,168,R
M,19,72,201,R
M,31,69,174,R
M,36,69,185,R
M,24,72,220,R
M,33,67,162,R
M,31,74,210,R
M,27,72,210,R
M,40,71,230,R
M,33,69,178,R
M,31,71,205,R
M,23,70,200,R
M,29,75,230,L
M,24,66,196,R
M,26,71,191,R
M,32,75,259,L
M,22,68,175,R
M,21,71,195,R
M,26,74,193,R
M,21,76,178,R
M,26,72,210,L
M,36,72,236,R
M,34,72,170,R
M,23,69,205,R
M,33,76,240,R
M,30,72,196,R
M,33,70,238,R
M,22,70,214,R
M,42,66,150,R
M,38,71,194,R
M,32,74,217,R
M,30,69,215,R
M,38,73,215,R
M,25,71,248,R
M,39,68,195,R
M,27,68,210,N
M,32,72,210,R
M,19,65,159,R
M,40,72,228,R
M,26,68,169,R
M,33,77,240,R
M,30,69,180,R
M,41,71,210,R
M,32,68,160,R
M,31,69,165,R
M,36,73,185,R
M,25,67,190,L
M,43,72,215,L
M,37,71,185,R
M,31,69,180,R
M,38,68,165,R
M,32,66,200,R
M,20,69,165,R
M,23,75,160,R
M,19,68,160,R
M,28,70,167,L
M,26,77,250,L
M,27,74,185,R
M,30,75,200,N
M,25,68,148,R
M,38,65,188,R
M,25,74,185,R
M,30,71,220,R
M,24,70,228,R
M,26,68,161,R
M,29,71,156,R
M,31,68,152,R
M,24,73,175,R
M,43,68,200,R
M,33,71,187,R
M,24,77,220,R
M,39,69,170,R
M,21,70,183,R
M,23,69,187,L
M,24,68,156,N
M,50,68,230,R
M,33,72,208,L
M,22,76,240,R
M,21,70,196,R
M,27,68,185,R
M,21,69,184,N
M,23,69,190,R
M,37,68,153,L
M,32,68,150,R
M,28,70,207,R
M,23,62,110,R
M,42,75,255,L
M,22,70,165,R
M,35,72,242,R
M,31,66,121,R
M,34,64,186,R
M,25,69,195,R
M,37,73,235,R
M,32,69,175,L
M,27,72,240,R
M,31,69,254,R
M,23,67,195,R
M,26,70,170,R
M,34,71,184,R
M,39,70,180,R
M,23,65,185,R
M,25,69,210,R
M,25,66,145,R
M,35,72,252,R
M,23,69,198,N
M,23,64,155,R
M,26,87,215,R
M,31,72,187,R
M,35,69,171,L
M,27,74,180,R
M,33,71,145,R
M,28,71,235,R
M,22,66,195,R
M,23,70,212,R
M,45,72,195,R
M,39,74,239,R
M,29,65,178,R
M,39,66,180,R
M,23,69,195,R
M,30,64,130,R
M,25,73,255,R
M,50,70,187,R
M,40,71,205,R
M,25,69,175,R
M,27,67,121,R
M,27,67,118,R
M,28,66,200,R
M,42,68,189,R
M,43,70,230,R
M,25,68,150,R
M,23,69,162,R
M,22,72,200,L
M,30,72,200,R
M,34,66,158,R
M,28,70,245,R
M,25,71,230,R
M,23,66,140,R
M,25,73,215,R
M,24,75,226,R
M,26,72,190,R
M,51,75,255,R
M,26,69,205,R
M,23,70,145,R
M,44,65,157,R
M,30,70,223,R
M,53,63,175,R
M,29,70,245,R
M,34,69,185,R
M,34,68,191,R
M,19,77,180,R
M,31,70,174,R
M,26,73,238,R
M,31,72,215,L
M,28,66,172,N
M,31,68,220,R
M,22,70,140,R
M,26,66,145,R
M,28,66,200,R
M,32,65,180,R
M,28,75,192,R
M,25,66,185,R
M,21,71,155,R
M,24,69,185,L
M,25,74,206,R
M,35,69,212,R
M,25,71,190,R
M,22,69,235,R
M,25,67,163,R
M,24,68,160,L
M,29,71,192,R
M,29,64,103,R
M,40,66,175,R
M,27,72,218,R
M,36,72,250,L
M,24,71,181,R
M,24,71,248,R
M,33,78,201,L
M,30,71,209,R
M,30,71,189,R
M,36,69,188,R
M,29,74,208,R
M,22,71,203,L
M,22,65,164,R
M,24,68,187,R
M,30,67,163,R
M,30,71,185,R
M,36,69,215,R
M,42,72,165,R
M,21,71,145,R
M,42,69,150,R
M,20,69,163,R
M,32,71,149,R
M,32,66,178,R
M,38,74,190,R
M,20,72,175,R
M,21,68,179,R
M,22,69,169,R
M,19,67,188,R
M,20,73,200,L
M,20,78,182,L
M,22,69,187,R
M,38,76,255,R
M,24,66,186,R
M,25,70,210,R
M,31,74,230,L
M,42,70,191,R
M,35,66,167,R
M,27,66,180,R
M,22,72,215,R
M,25,75,165,R
M,25,73,177,R
M,21,68,160,R
M,46,70,160,R
M,29,67,165,R
M,39,70,189,R
M,33,66,154,R
M,25,70,180,R
M,35,77,219,R
M,32,71,193,R
M,48,64,160,R
M,22,73,162,R
M,23,72,159,R
M,23,72,283,R
M,20,73,210,R
M,34,66,225,R
M,24,69,180,L
M,31,68,183,R
M,31,69,188,L
M,38,71,168,R
M,28,68,161,R
M,19,70,160,R
M,23,67,190,R
M,19,63,120,R
M,47,68,165,R
M,31,73,207,R
M,39,65,205,R
M,35,68,203,R
M,34,66,215,R
M,24,66,150,R
M,31,74,215,R
M,23,75,240,R
M,28,66,200,R
M,20,72,170,R
M,24,75,275,R
M,21,71,195,R
M,19,74,153,R
M,21,69,163,R
M,21,67,175,R
M,20,69,157,R
M,51,73,220,R
M,34,70,185,R
M,39,74,260,R
M,31,69,185,R
M,23,68,155,L
M,20,71,165,R
M,29,71,239,R
M,29,75,225,R
M,20,66,145,R
M,44,66,206,R
M,38,70,211,R
M,21,67,155,L
M,19,66,175,R
M,25,67,169,R
M,31,69,225,R
M,28,70,225,R
M,25,72,206,R
M,36,67,165,R
M,32,66,172,R
M,28,72,200,R
M,33,78,178,R
M,29,72,180,R
M,22,70,140,R
M,26,67,167,L
M,21,69,175,R
M,28,65,180,R
M,28,66,160,R
M,40,65,188,R
M,19,73,248,R
M,19,69,165,R
M,20,74,200,R
M,30,69,180,R
M,26,75,185,L
M,19,70,215,R
M,42,73,213,R
M,20,71,203,R
M,21,63,130,R
M,19,72,175,L
M,20,76,185,R
M,42,66,185,R
M,42,67,172,L
M,35,67,190,R
M,45,66,189,R
M,28,71,225,R
M,46,66,177,R
M,27,75,230,R
M,33,68,207,R
M,42,67,147,R
M,22,69,185,R
M,28,70,180,R
M,43,64,158,R
M,29,67,190,L
M,24,72,178,R
M,33,68,165,R
M,19,70,187,R
M,20,71,135,R
M,19,74,175,R
M,20,72,160,R
M,21,73,202,R
M,20,74,190,R
M,20,69,190,R
M,19,67,153,R
M,21,72,244,R
M,18,68,145,R
M,19,69,160,R
M,36,69,160,R
M,31,71,185,R
M,21,75,210,R
M,20,70,155,R
M,29,76,225,R
M,27,69,170,R
M,24,71,180,R
M,22,72,175,R
M,22,72,178,R
M,21,74,180,R
M,19,70,145,R
M,23,75,206,R
M,37,66,200,R
M,39,74,250,L
M,29,63,168,R
M,21,70,195,R
M,29,73,205,R
M,31,69,170,R
M,19,70,147,L
M,19,71,176,R
M,21,67,150,L
M,32,73,195,R
M,28,70,175,L
M,38,68,170,R
M,24,71,207,R
M,36,69,175,L
M,32,70,190,R
M,29,70,195,R
M,27,71,265,L
M,28,71,164,R
M,21,71,178,R
M,21,70,165,R
M,31,68,170,R
M,23,72,140,R
M,28,71,160,R
M,37,68,181,R
M,24,70,175,R
M,21,64,148,R
M,38,65,172,R
M,32,73,195,R
M,28,69,200,R
M,30,67,162,R
M,27,74,185,R
M,23,60,170,R
M,26,77,226,R
M,20,71,220,R
M,18,66,150,L
M,31,69,210,R
M,33,66,184,L
M,35,66,188,R
M,21,73,215,R
M,20,73,150,L
M,26,67,145,R
M,30,68,150,R
M,28,68,200,R
M,25,68,187,R
M,28,74,253,R
M,22,67,190,L
M,27,71,196,R
M,28,73,175,R
M,40,69,176,R
M,30,67,180,R
M,30,68,170,R
M,22,71,150,R
M,33,70,195,R
M,28,69,165,R
M,18,70,145,R
M,20,72,165,R
M,41,70,214,R
M,33,68,196,R
M,38,70,195,R
M,29,71,193,R
M,39,67,190,R
M,20,71,202,R
M,34,69,200,R
M,33,72,205,R
M,29,68,155,R
M,24,64,150,R
M,26,68,174,R
M,22,70,260,L
M,24,73,215,R
M,29,68,178,R
M,37,72,210,R
M,31,70,190,R
M,25,71,171,L
M,22,71,180,L
M,25,69,224,R
M,21,74,205,R
M,20,69,195,R
M,34,68,165,R
M,27,68,191,R
M,29,75,190,R
M,21,72,215,L
M,28,69,170,L
M,40,71,220,R
M,24,73,186,R
M,40,71,195,R
M,27,69,225,R
M,38,68,190,R
M,23,68,160,R
M,23,72,194,R
M,24,76,200,R
M,32,70,205,R
M,25,65,170,R
M,23,70,150,R
M,27,71,195,R
M,36,71,194,R
M,21,72,195,R
M,29,71,180,R
M,33,66,135,R
M,26,76,218,R
M,25,68,155,R
M,28,76,190,R
M,31,71,166,R
M,43,70,180,R
M,33,71,195,R
M,25,69,200,L
M,24,69,205,R
M,27,70,213,R
M,31,69,148,R
M,24,72,180,R
M,22,72,170,R
M,22,67,210,R
M,24,69,185,R
M,21,65,235,R
M,22,68,185,R
M,30,72,175,R
M,26,69,135,R
M,23,68,150,R
M,25,70,190,R
M,24,72,205,R
M,26,70,185,R
M,31,71,165,R
M,25,75,240,R
M,25,69,220,R
M,38,70,195,R
M,34,67,194,R
M,26,69,195,L
M,42,74,220,R
M,36,70,215,R
M,29,69,180,R
M,34,69,210,R
M,30,69,180,R
M,39,72,145,R
M,27,69,193,R
M,31,71,195,R
M,42,70,245,R
M,20,71,165,R
M,27,73,210,R
M,25,67,155,R
M,28,72,215,R
M,29,70,200,R
M,34,73,220,R
M,26,72,175,R
M,47,68,207,R
M,26,71,207,R
M,29,69,210,R
M,19,73,141,L
M,31,72,250,R
M,28,68,168,R
M,34,71,150,R
M,39,69,170,R
M,27,69,232,R
M,49,72,231,R
M,22,71,160,R
M,50,73,207,R
M,40,73,196,R
M,43,66,170,R
M,32,64,201,R
M,31,69,173,R
M,29,66,185,L
M,44,66,190,R
M,28,65,130,R
M,39,68,205,R
M,33,71,180,R
M,20,65,155,R
M,26,67,158,R
M,36,71,177,R
M,28,73,150,R
M,51,68,186,R
M,35,69,210,R
M,37,68,212,R
M,28,72,230,L
M,45,69,175,R
M,29,67,180,R
M,32,72,215,R
M,45,70,240,L
M,37,69,200,R
M,21,69,177,R
M,48,71,186,R
M,28,74,185,R
M,33,68,200,R
M,26,76,240,R
M,43,66,192,R
M,41,71,195,R
M,26,67,190,R
M,48,69,160,R
M,41,70,215,R
M,31,66,205,L
M,28,69,190,R
M,36,72,185,R
M,24,73,187,L
M,41,66,190,R
M,27,76,240,R
M,29,72,181,R
M,27,67,196,R
M,31,68,205,R
M,45,68,195,L
M,37,69,220,R
M,42,70,181,R
M,36,66,170,R
M,32,70,195,R
M,29,70,195,R
M,41,71,226,R
M,27,64,137,R
M,30,69,210,R
M,49,71,177,R
M,19,70,158,R
M,19,74,155,R
M,28,72,260,R
M,30,67,194,R
M,24,71,165,R
M,25,69,175,R
M,30,70,175,R
M,21,68,175,L
M,30,86,167,R
M,19,69,189,L
M,22,77,208,R
M,24,71,205,L
M,25,72,185,R
M,22,75,200,L
M,18,74,187,R
M,20,72,207,R
M,19,71,167,R
M,18,71,142,R
M,20,68,155,R
M,30,73,180,L
M,25,70,171,R
M,27,69,274,R
M,31,71,213,L
M,31,64,155,R
M,23,66,128,R
M,32,71,206,R
M,29,71,155,R
M,29,68,205,R
M,34,69,175,R
M,27,73,201,R
M,27,65,130,R
M,26,66,160,R
M,33,71,210,L
M,23,74,155,L
M,38,69,165,R
M,37,69,204,R
M,23,73,170,R
M,30,77,195,L
M,33,76,150,R
M,20,75,165,R
M,26,71,170,R
M,25,72,235,R
M,24,67,150,R
M,30,80,220,R
M,39,68,175,R
M,24,73,200,R
M,37,68,149,R
M,24,71,185,R
M,48,68,152,R
M,30,69,210,N
M,43,64,190,R
M,23,71,185,R
M,38,68,178,R
M,27,78,220,R
M,20,68,156,R
M,20,69,140,R
M,22,68,195,R
M,32,68,180,R
M,29,67,179,R
M,37,70,174,R
M,30,66,170,R
M,42,71,150,R
M,40,76,250,R
M,47,69,175,R
M,44,69,165,R
M,44,69,205,R
M,37,70,185,R
M,42,68,190,L
M,38,69,210,R
M,50,70,224,R
M,47,68,185,R
M,49,70,200,R
M,44,70,220,R
M,45,70,180,R
M,45,70,187,L
M,43,66,190,R
M,41,67,185,R
M,36,69,187,L
M,51,70,220,R
M,43,69,190,R
M,40,68,170,R
M,56,67,150,R
M,38,69,180,R
M,44,71,195,R
M,41,71,242,R
M,37,73,215,R
M,42,73,215,R
M,38,74,215,R
M,46,69,223,R
M,49,66,160,R
M,49,67,196,R
M,41,72,211,L
M,35,71,198,R
M,37,70,170,R
M,50,70,220,R
M,40,69,190,R
M,44,71,205,R
M,39,69,200,R
M,37,71,165,R
M,45,66,160,L
M,40,71,235,R
M,48,70,180,R
M,38,71,205,R
M,38,68,185,R
M,41,72,176,R
M,50,68,185,R
M,37,71,165,R
M,53,68,168,R
M,46,70,190,R
M,38,69,175,R
M,41,71,225,R
M,45,66,159,R
M,36,70,175,R
M,50,72,200,R
M,40,74,185,R
M,46,62,189,R
M,38,71,182,L
M,46,69,210,R
M,42,70,175,R
M,48,74,225,R
M,44,71,187,R
M,40,71,199,R
M,41,69,180,R
M,46,69,198,R
M,47,76,255,R
M,40,71,204,R
M,44,72,230,R
M,44,65,198,R
M,39,74,210,R
M,39,69,175,R
M,39,71,240,R
M,49,68,210,R
M,49,67,185,R
M,39,72,235,R
M,43,63,170,R
M,39,75,240,R
M,45,71,200,L
M,42,74,220,R
M,39,70,200,R
M,43,73,239,R
M,40,70,217,L
M,44,78,240,R
M,41,68,180,R
M,44,74,197,R
M,38,70,190,L
M,44,68,177,L
M,47,71,192,R
M,40,68,195,R
M,41,71,205,R
M,39,74,200,R
M,40,71,199,R
M,39,71,214,R
M,43,69,210,R
M,53,71,175,L
M,44,70,221,R
M,48,70,180,R
M,43,66,195,R
M,39,69,175,R
M,47,76,225,R
M,39,68,175,R
M,41,72,215,R
M,37,71,188,R
M,51,73,209,R
M,44,69,175,R
M,39,75,250,R
M,41,67,188,R
M,49,67,162,R
M,47,72,210,R
M,42,74,189,R
M,48,72,165,R
M,44,68,168,R
M,38,68,185,R
M,40,68,190,R
M,45,72,205,R
M,41,68,200,R
M,40,73,225,R
M,44,70,190,R
M,41,65,167,R
M,44,70,200,R
M,46,68,210,R
M,39,71,239,R
M,42,68,150,R
M,49,70,190,R
M,45,71,209,R
M,38,70,165,L
M,36,71,185,R
M,44,69,192,R
M,42,74,227,R
M,48,74,205,R
M,40,71,188,R
M,40,70,196,R
M,41,71,180,R
M,46,71,221,R
M,40,69,180,L
M,48,70,196,R
M,45,66,210,R
M,47,72,222,R
M,42,70,177,R
M,41,71,188,R
M,38,72,209,R
M,44,71,175,R
M,40,73,195,R
M,43,70,175,R
M,45,68,180,R
M,39,74,195,R
M,45,70,194,R
M,42,71,220,R
M,46,94,192,R
M,48,70,176,R
M,36,74,203,R
M,53,69,160,R
M,45,71,224,R
M,40,70,215,R
M,53,65,165,R
M,41,69,190,R
M,40,70,175,R
M,47,69,189,R
M,39,72,175,R
M,38,72,210,R
M,43,68,182,R
M,46,68,170,R
M,45,70,185,R
M,40,66,130,R
M,45,70,240,L
M,39,72,195,R
M,38,73,200,R
M,40,68,190,R
M,44,71,185,R
M,39,72,219,R
M,52,75,190,R
M,54,64,168,R
M,42,66,186,R
M,43,74,213,R
M,56,73,178,R
M,46,70,166,R
M,42,68,234,R
M,47,70,205,R
M,46,71,184,R
M,46,70,180,R
M,51,68,181,R
M,50,61,144,R
M,22,69,155,R
M,41,70,175,R
M,44,67,165,R
M,47,71,230,L
M,28,70,160,R
M,35,68,160,R
M,57,68,215,R
M,33,67,194,R
M,41,66,200,R
M,42,65,180,R
M,22,72,190,L
M,40,67,161,R
M,38,68,187,R
M,34,70,175,R
M,30,67,185,R
M,26,73,230,R
M,31,67,170,R
M,20,73,160,R
M,24,69,144,L
M,26,67,180,R
M,53,70,218,R
M,58,70,175,R
M,35,70,235,R
M,49,69,195,R
M,35,75,230,R
M,21,69,190,R
M,24,69,154,R
M,22,69,205,R
M,37,68,225,L
M,36,70,185,R
M,31,65,161,L
M,41,66,140,R
M,31,71,184,R
M,33,71,210,R
M,41,69,195,R
M,25,67,155,R
M,31,68,170,R
M,45,72,230,R
M,33,67,160,R
M,27,71,190,R
M,22,69,180,R
M,31,66,154,R
M,40,69,178,R
M,41,70,166,R
M,22,71,170,R
M,43,68,210,R
M,44,72,185,R
M,29,66,131,R
M,42,69,220,R
M,28,79,205,R
M,30,68,225,R
M,27,75,227,R
M,26,74,170,R
M,30,73,235,R
M,35,73,185,L
M,30,69,180,R
M,24,77,235,L
M,39,66,181,R
M,41,71,221,R
M,44,67,170,L
M,33,64,168,R
M,23,64,214,N
M,35,67,195,R
M,40,69,185,R
M,20,68,190,R
M,35,69,180,R
M,29,70,235,L
M,29,72,190,R
M,48,70,145,R
M,26,74,285,R
M,27,71,215,R
M,22,76,180,R
M,30,72,185,R
M,25,77,265,R
M,21,72,215,L
M,36,74,225,R
M,21,69,150,R
M,50,71,208,R
M,23,68,155,L
M,20,71,145,R
M,24,73,191,R
M,26,69,165,R
M,44,72,203,L
M,25,70,160,R
M,25,72,230,R
M,31,71,250,R
M,21,73,185,R
M,21,67,135,R
M,24,71,240,R
M,24,70,171,L
M,20,72,260,R
M,20,68,120,R
M,35,70,195,R
M,30,71,180,R
M,44,72,235,R
M,51,72,195,R
M,43,74,185,R
M,45,72,183,R
M,41,68,150,R
M,28,69,175,R
M,31,73,165,R
M,36,72,210,R
M,38,73,215,R
M,31,74,235,L
M,20,67,145,R
M,48,75,220,L
M,39,70,175,L
M,41,74,205,R
M,33,74,170,R
M,39,70,205,R
M,47,69,225,R
M,20,70,167,R
M,43,76,265,R
M,27,74,205,R
M,35,73,222,R
M,22,66,166,R
M,29,67,185,R
M,26,67,190,R
M,23,69,247,R
M,21,67,180,R
M,22,67,175,R
M,26,72,205,R
M,24,75,220,R
M,21,70,220,R
M,45,72,222,R
M,25,67,190,R
M,19,72,170,R
M,21,74,210,R
M,19,70,160,R
M,32,74,240,R
M,20,74,246,R
M,26,68,212,R
M,34,72,187,R
M,22,71,213,R
M,19,68,145,L
M,21,74,225,R
M,23,71,198,R
M,22,67,150,R
M,23,67,178,R
M,26,71,165,R
M,32,68,195,R
M,20,66,172,R
M,21,70,150,R
M,20,76,180,L
M,26,75,255,R
M,23,72,210,R
M,26,77,293,R
M,20,74,220,R
M,21,69,180,R
M,21,68,145,R
M,20,75,210,R
M,28,72,220,R
M,19,67,122,R
M,21,66,140,R
M,24,69,168,R
M,21,73,220,R
M,25,63,88,R
M,21,71,200,R
M,25,73,276,R
M,19,74,180,R
M,20,70,165,R
M,36,66,195,R
M,19,73,180,R
M,18,73,180,L
M,22,70,190,R
M,20,72,155,R
M,23,69,235,R
M,18,73,175,R
M,20,68,138,R
M,21,72,210,R
M,20,71,180,R
M,21,72,150,R
M,19,71,180,R
M,19,69,160,R
M,23,73,190,R
M,21,74,215,R
M,20,71,185,R
M,18,72,185,R
M,20,68,182,R
M,22,65,156,R
M,18,72,155,R
M,34,71,155,R
M,22,68,195,R
M,24,67,125,R
M,32,69,195,R
M,24,70,200,L
M,28,64,180,R
M,31,71,180,R
M,32,73,245,R
M,29,69,128,R
M,18,68,210,R
M,30,71,190,R
M,24,66,127,R
M,30,73,213,R
M,20,68,205,R
M,22,72,198,R
